iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:031f04ea036b94cd9e1be6331e15e958b7ee2248 20220118103122 in burger_war_dev
0, 1, 190, 2022-01-18T22:36:35+09:00, 8, 9, LOSE, r
0, 2, 190, 2022-01-18T22:40:49+09:00, 7, 4, WIN, r
0, 3, 190, 2022-01-18T22:45:03+09:00, 4, 8, LOSE, r
0, 4, 190, 2022-01-18T22:49:17+09:00, 12, 7, WIN, r
0, 5, 190, 2022-01-18T22:53:31+09:00, 0, 10, LOSE, r
0, 6, 190, 2022-01-18T22:57:44+09:00, 10, 20, LOSE, r
0, 7, 190, 2022-01-18T23:01:58+09:00, 1, 13, LOSE, r
0, 8, 190, 2022-01-18T23:05:58+09:00, 7, 11, LOSE, r
0, 9, 190, 2022-01-18T23:10:12+09:00, 9, 8, WIN, r
0, 10, 190, 2022-01-18T23:14:25+09:00, 3, 15, LOSE, r
0, 11, 190, 2022-01-18T23:18:40+09:00, 2, 11, LOSE, r
0, 12, 190, 2022-01-18T23:22:53+09:00, 9, 14, LOSE, r
1, 1, 190, 2022-01-19T02:07:22+09:00, 14, 1, WIN, r
1, 2, 190, 2022-01-19T02:11:22+09:00, 9, 1, WIN, r
1, 3, 190, 2022-01-19T02:15:36+09:00, 1, 13, LOSE, r
1, 4, 190, 2022-01-19T02:19:49+09:00, 1, 14, LOSE, r
1, 5, 190, 2022-01-19T02:24:03+09:00, 4, 14, LOSE, r
1, 6, 190, 2022-01-19T02:28:17+09:00, 4, 6, LOSE, r
1, 7, 190, 2022-01-19T02:32:30+09:00, 0, 11, LOSE, r
1, 8, 190, 2022-01-19T02:36:44+09:00, 5, 9, LOSE, r
1, 9, 190, 2022-01-19T02:40:58+09:00, 14, 11, WIN, r
1, 10, 190, 2022-01-19T02:45:12+09:00, 11, 13, LOSE, r
1, 11, 190, 2022-01-19T02:49:25+09:00, 3, 8, LOSE, r
1, 12, 190, 2022-01-19T02:53:39+09:00, 5, 9, LOSE, r
2, 1, 190, 2022-01-19T05:36:12+09:00, 6, 1, WIN, r
2, 2, 190, 2022-01-19T05:40:25+09:00, 11, 1, WIN, r
2, 3, 190, 2022-01-19T05:44:39+09:00, 3, 5, LOSE, r
2, 4, 190, 2022-01-19T05:48:53+09:00, 11, 10, WIN, r
2, 5, 190, 2022-01-19T05:53:06+09:00, 11, 15, LOSE, r
2, 6, 190, 2022-01-19T05:57:20+09:00, 2, 12, LOSE, r
2, 7, 190, 2022-01-19T06:01:34+09:00, 13, 19, LOSE, r
2, 8, 190, 2022-01-19T06:05:48+09:00, 3, 0, WIN, r
2, 9, 190, 2022-01-19T06:10:01+09:00, 4, 15, LOSE, r
2, 10, 190, 2022-01-19T06:14:15+09:00, 3, 15, LOSE, r
2, 11, 190, 2022-01-19T06:18:29+09:00, 1, 12, LOSE, r
2, 12, 190, 2022-01-19T06:22:48+09:00, 2, 13, LOSE, r
3, 1, 190, 2022-01-19T09:05:22+09:00, 2, 12, LOSE, r
3, 2, 190, 2022-01-19T09:09:35+09:00, 13, 9, WIN, r
3, 3, 190, 2022-01-19T09:13:49+09:00, 1, 11, LOSE, r
3, 4, 190, 2022-01-19T09:18:03+09:00, 15, 5, WIN, r
3, 5, 190, 2022-01-19T09:22:16+09:00, 11, 15, LOSE, r
3, 6, 190, 2022-01-19T09:26:30+09:00, 7, 11, LOSE, r
3, 7, 190, 2022-01-19T09:30:44+09:00, 0, 11, LOSE, r
3, 8, 190, 2022-01-19T09:34:57+09:00, 10, 11, LOSE, r
3, 9, 190, 2022-01-19T09:39:11+09:00, 3, 8, LOSE, r
3, 10, 190, 2022-01-19T09:43:11+09:00, 3, 13, LOSE, r
3, 11, 190, 2022-01-19T09:47:24+09:00, 3, 8, LOSE, r
3, 12, 190, 2022-01-19T09:51:38+09:00, 1, 12, LOSE, r
