iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:dfaae62ad6deaf9aabcd8fc69e77d88c1e4d0060 in burger_war_dev
0, 1, 240, 2021-02-03T04:26:26+00:00, 5, 6, LOSE, r
0, 2, 240, 2021-02-03T04:31:30+00:00, 18, 7, WIN, r
0, 3, 240, 2021-02-03T04:36:37+00:00, 2, 13, LOSE, r
0, 4, 240, 2021-02-03T04:41:44+00:00, 2, 15, LOSE, r
0, 5, 240, 2021-02-03T04:46:51+00:00, 1, 11, LOSE, r
0, 6, 240, 2021-02-03T04:51:58+00:00, 13, 10, WIN, r
0, 7, 240, 2021-02-03T04:57:02+00:00, 0, 12, LOSE, r
0, 8, 240, 2021-02-03T05:02:10+00:00, 3, 0, WIN, r
1, 1, 240, 2021-02-03T05:07:24+00:00, 7, 1, WIN, r
1, 2, 240, 2021-02-03T05:12:30+00:00, 2, 12, LOSE, r
1, 3, 240, 2021-02-03T05:17:34+00:00, 2, 12, LOSE, r
1, 4, 240, 2021-02-03T05:22:41+00:00, 1, 14, LOSE, r
1, 5, 240, 2021-02-03T05:27:48+00:00, 13, 3, WIN, r
1, 6, 240, 2021-02-03T05:32:54+00:00, 3, 14, LOSE, r
1, 7, 240, 2021-02-03T05:38:01+00:00, 3, 13, LOSE, r
1, 8, 240, 2021-02-03T05:43:08+00:00, 3, 9, LOSE, r
2, 1, 240, 2021-02-03T05:48:22+00:00, 3, 1, WIN, r
2, 2, 240, 2021-02-03T05:53:28+00:00, 14, 13, WIN, r
2, 3, 240, 2021-02-03T05:58:32+00:00, 2, 13, LOSE, r
2, 4, 240, 2021-02-03T06:03:37+00:00, 1, 14, LOSE, r
2, 5, 240, 2021-02-03T06:08:44+00:00, 1, 13, LOSE, r
2, 6, 240, 2021-02-03T06:13:50+00:00, 12, 22, LOSE, r
2, 7, 240, 2021-02-03T06:18:54+00:00, 4, 15, LOSE, r
2, 8, 240, 2021-02-03T06:23:59+00:00, 3, 2, WIN, r
