iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
#--> latest commit:4036dee52a98f7f998db436411fd91741696929b
0, 1, 225, 2020-08-28T01:06:15+00:00, 13, 2, WIN
0, 2, 225, 2020-08-28T01:11:01+00:00, 12, 2, WIN
0, 3, 225, 2020-08-28T01:15:48+00:00, 12, 1, WIN
0, 4, 225, 2020-08-28T01:20:35+00:00, 11, 4, WIN
0, 5, 225, 2020-08-28T01:25:21+00:00, 14, 9, WIN
1, 1, 225, 2020-08-28T01:30:15+00:00, 12, 2, WIN
1, 2, 225, 2020-08-28T01:35:01+00:00, 20, 12, WIN
1, 3, 225, 2020-08-28T01:39:48+00:00, 12, 0, WIN
1, 4, 225, 2020-08-28T01:44:34+00:00, 10, 5, WIN
1, 5, 225, 2020-08-28T01:49:21+00:00, 17, 3, WIN
2, 1, 225, 2020-08-28T01:54:14+00:00, 7, 1, WIN
2, 2, 225, 2020-08-28T01:59:01+00:00, 12, 1, WIN
2, 3, 225, 2020-08-28T02:03:48+00:00, 11, 1, WIN
2, 4, 225, 2020-08-28T02:08:34+00:00, 11, 13, LOSE
2, 5, 225, 2020-08-28T02:13:21+00:00, 17, 6, WIN
