iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result, my_side
#--> latest commit:3ba05e82c6f150ff84437d7aa918dc8a7664e340 20220118123250 in burger_war_dev
#--> latest commit:3ba05e82c6f150ff84437d7aa918dc8a7664e340 20220118123609 in burger_war_dev
0, 1, 240, 2022-01-18T12:42:10+09:00, 4, 1, WIN, r
0, 2, 240, 2022-01-18T12:47:14+09:00, 15, 1, WIN, r
0, 3, 240, 2022-01-18T12:52:19+09:00, 12, 4, WIN, r
0, 4, 240, 2022-01-18T12:57:24+09:00, 15, 5, WIN, r
0, 5, 240, 2022-01-18T13:02:29+09:00, 14, 8, WIN, r
0, 6, 240, 2022-01-18T13:07:34+09:00, 13, 8, WIN, r
0, 7, 240, 2022-01-18T13:12:39+09:00, 15, 4, WIN, r
0, 8, 240, 2022-01-18T13:17:44+09:00, 2, 0, WIN, r
0, 9, 240, 2022-01-18T13:22:49+09:00, 8, 5, WIN, r
0, 10, 240, 2022-01-18T13:27:54+09:00, 11, 7, WIN, r
0, 11, 240, 2022-01-18T13:32:59+09:00, 4, 3, WIN, r
0, 12, 240, 2022-01-18T13:38:04+09:00, 9, 6, WIN, r
1, 1, 240, 2022-01-18T14:48:20+09:00, 4, 1, WIN, r
1, 2, 240, 2022-01-18T14:53:25+09:00, 12, 1, WIN, r
1, 3, 240, 2022-01-18T14:58:30+09:00, 6, 2, WIN, r
1, 4, 240, 2022-01-18T15:03:34+09:00, 11, 1, WIN, r
1, 5, 240, 2022-01-18T15:08:39+09:00, 16, 5, WIN, r
1, 6, 240, 2022-01-18T15:13:44+09:00, 12, 5, WIN, r
1, 7, 240, 2022-01-18T15:18:50+09:00, 13, 2, WIN, r
1, 8, 240, 2022-01-18T15:23:57+09:00, 7, 0, WIN, r
1, 9, 240, 2022-01-18T15:29:01+09:00, 3, 2, WIN, r
1, 10, 240, 2022-01-18T15:34:06+09:00, 14, 4, WIN, r
1, 11, 240, 2022-01-18T15:39:11+09:00, 14, 3, WIN, r
1, 12, 240, 2022-01-18T15:44:17+09:00, 4, 5, LOSE, r
2, 1, 240, 2022-01-18T16:53:32+09:00, 6, 1, WIN, r
2, 2, 240, 2022-01-18T16:58:37+09:00, 14, 1, WIN, r
2, 3, 240, 2022-01-18T17:03:42+09:00, 7, 1, WIN, r
2, 4, 240, 2022-01-18T17:08:47+09:00, 5, 3, WIN, r
2, 5, 240, 2022-01-18T17:13:51+09:00, 13, 3, WIN, r
2, 6, 240, 2022-01-18T17:18:56+09:00, 13, 3, WIN, r
2, 7, 240, 2022-01-18T17:24:01+09:00, 14, 4, WIN, r
2, 8, 240, 2022-01-18T17:29:06+09:00, 2, 0, WIN, r
2, 9, 240, 2022-01-18T17:34:11+09:00, 2, 1, WIN, r
2, 10, 240, 2022-01-18T17:39:16+09:00, 15, 9, WIN, r
2, 11, 240, 2022-01-18T17:44:21+09:00, 15, 5, WIN, r
2, 12, 240, 2022-01-18T17:49:26+09:00, 5, 9, LOSE, r
3, 1, 240, 2022-01-18T18:58:28+09:00, 5, 1, WIN, r
3, 2, 240, 2022-01-18T19:03:33+09:00, 9, 4, WIN, r
3, 3, 240, 2022-01-18T19:08:38+09:00, 5, 1, WIN, r
3, 4, 240, 2022-01-18T19:13:43+09:00, 8, 3, WIN, r
3, 5, 240, 2022-01-18T19:18:47+09:00, 11, 23, LOSE, r
3, 6, 240, 2022-01-18T19:23:52+09:00, 15, 4, WIN, r
3, 7, 240, 2022-01-18T19:28:57+09:00, 15, 8, WIN, r
3, 8, 240, 2022-01-18T19:34:02+09:00, 3, 0, WIN, r
3, 9, 240, 2022-01-18T19:38:53+09:00, 7, 3, WIN, r
3, 10, 240, 2022-01-18T19:43:58+09:00, 13, 7, WIN, r
3, 11, 240, 2022-01-18T19:49:03+09:00, 13, 6, WIN, r
3, 12, 240, 2022-01-18T19:54:08+09:00, 3, 6, LOSE, r
0, 1, 190, 2022-01-18T20:50:35+09:00, 6, 1, WIN, r
0, 2, 190, 2022-01-18T20:54:48+09:00, 12, 1, WIN, r
0, 3, 190, 2022-01-18T20:59:02+09:00, 15, 5, WIN, r
0, 4, 190, 2022-01-18T21:03:16+09:00, 3, 1, WIN, r
0, 5, 190, 2022-01-18T21:07:15+09:00, 15, 8, WIN, r
0, 6, 190, 2022-01-18T21:11:29+09:00, 14, 4, WIN, r
0, 7, 190, 2022-01-18T21:15:43+09:00, 13, 3, WIN, r
0, 8, 190, 2022-01-18T21:19:57+09:00, 2, 0, WIN, r
0, 9, 190, 2022-01-18T21:24:10+09:00, 6, 6, LOSE, r
0, 10, 190, 2022-01-18T21:28:24+09:00, 15, 5, WIN, r
0, 11, 190, 2022-01-18T21:32:38+09:00, 10, 3, WIN, r
0, 12, 190, 2022-01-18T21:36:52+09:00, 5, 11, LOSE, r
1, 1, 190, 2022-01-19T00:22:35+09:00, 6, 1, WIN, r
1, 2, 190, 2022-01-19T00:26:49+09:00, 6, 2, WIN, r
1, 3, 190, 2022-01-19T00:31:03+09:00, 9, 2, WIN, r
1, 4, 190, 2022-01-19T00:35:16+09:00, 5, 2, WIN, r
1, 5, 190, 2022-01-19T00:39:30+09:00, 11, 15, LOSE, r
1, 6, 190, 2022-01-19T00:43:44+09:00, 13, 3, WIN, r
1, 7, 190, 2022-01-19T00:47:58+09:00, 11, 9, WIN, r
1, 8, 190, 2022-01-19T00:52:12+09:00, 8, 0, WIN, r
1, 9, 190, 2022-01-19T00:56:25+09:00, 8, 1, WIN, r
1, 10, 190, 2022-01-19T01:00:39+09:00, 14, 7, WIN, r
1, 11, 190, 2022-01-19T01:04:53+09:00, 13, 2, WIN, r
1, 12, 190, 2022-01-19T01:09:07+09:00, 3, 5, LOSE, r
2, 1, 190, 2022-01-19T03:51:33+09:00, 5, 1, WIN, r
2, 2, 190, 2022-01-19T03:55:47+09:00, 9, 1, WIN, r
2, 3, 190, 2022-01-19T04:00:01+09:00, 9, 2, WIN, r
2, 4, 190, 2022-01-19T04:04:14+09:00, 11, 3, WIN, r
